player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Mayo, Coby",,,-0.006,False,0.645,75.6,49.1,26.1,9.9,30.8,46.4
"Neto, Zach",,,0.029,False,0.787,71.0,37.3,34.3,13.5,32.2,50.7
"Garver, Mitch",,,-0.006,False,0.65,72.5,65.5,26.2,7.7,34.6,40.9
"Sosa, Edmundo",,,-0.069,False,0.628,72.2,61.3,34.5,7.8,24.9,61.6
"Baty, Brett",,,-0.029,False,0.6,74.8,45.7,36.0,8.1,28.9,47.9
"Gilbert, Drew",,,0.013,False,0.694,69.8,35.4,34.2,2.1,21.4,41.8
"Ozuna, Marcell",,,-0.036,False,0.613,73.7,48.5,40.1,8.6,31.3,41.9
"Realmuto, J.T.",,,-0.032,False,0.616,73.1,53.8,33.3,5.3,24.4,47.5
"Hernández, Heriberto",,,-0.032,False,0.784,74.9,64.5,34.7,11.1,31.6,46.0
"Outman, James",,,0.014,False,0.505,72.0,47.9,33.3,6.3,43.0,50.9
"Rumfield, TJ",,,0.054,False,0.856,68.9,46.4,37.3,5.5,20.6,49.8
"Mateo, Jorge",,,-0.022,False,0.667,73.6,43.1,45.8,9.6,30.9,54.4
"Rivas, Leo",,,-0.02,False,0.435,65.3,53.0,30.3,1.5,24.1,36.5
"Moniak, Mickey",,,0.074,True,0.924,74.4,53.5,31.0,13.1,29.4,58.6
"Raley, Luke",,,-0.018,False,0.76,75.2,59.0,39.1,16.6,40.8,53.9
"Rojas, Miguel",,,-0.005,False,0.741,69.1,48.9,33.6,7.2,16.5,48.0
"Rooker, Brent",,,-0.021,False,0.67,74.1,45.8,34.2,15.5,38.4,49.6
"Crawford, Justin",,,0.017,False,0.665,68.8,38.9,31.1,1.0,19.4,53.5
"Stowers, Kyle",,,0.007,False,0.794,75.1,53.3,35.5,12.4,35.6,52.7
"Kiner-Falefa, Isiah",,,0.005,False,0.705,68.8,43.1,37.3,3.0,17.6,49.5
"O'Hearn, Ryan",,,0.031,False,0.836,70.9,45.4,35.4,7.9,21.5,46.7
"Beavers, Dylan",,,0.004,False,0.669,71.8,43.9,35.6,5.6,23.8,44.0
"Peters, Tristan",,,0.044,False,0.797,69.7,56.8,34.2,4.6,21.9,55.9
"DeLauter, Chase",,,0.007,False,0.781,71.5,44.5,34.1,5.7,15.7,43.3
"Kreidler, Ryan",,,0.03,False,0.756,74.6,69.9,26.8,8.2,30.2,50.9
"Carpenter, Kerry",,,0.02,False,0.774,71.8,47.3,37.6,11.5,30.0,49.5
"Turang, Brice",,,0.012,False,0.823,70.1,49.3,38.2,8.1,21.8,42.6
"Crow-Armstrong, Pete",,,0.033,False,0.93,74.8,46.7,36.7,10.9,28.5,50.6
"Gelof, Zack",,,0.059,False,0.803,73.8,62.6,28.7,6.6,27.5,46.3
"Clemens, Kody",,,0.006,False,0.812,71.9,62.4,36.0,13.2,25.4,49.2
"Young, Jared",,,-0.003,False,0.721,73.1,61.7,28.3,10.4,25.1,47.1
"Bauers, Jake",,,0.017,False,0.873,76.8,49.5,36.1,13.5,26.8,41.3
"Cortes, Carlos",,,0.008,False,0.791,70.6,44.6,36.6,8.2,19.4,44.2
"Smith, Josh",,,-0.005,False,0.607,69.1,48.0,33.0,6.2,22.4,48.5
"Call, Alex",,,0.041,False,0.691,67.4,43.5,24.2,2.2,15.3,42.8
"Jiménez, Leo",,,-0.046,False,0.587,72.0,47.1,31.6,5.1,23.5,44.4
"Donovan, Brendan",,,0.026,False,0.838,68.5,67.6,38.6,4.4,20.4,42.7
"García, Adolis",,,-0.026,False,0.599,71.7,58.3,38.0,9.3,34.6,45.4
"Scott II, Victor",,,-0.025,False,0.534,68.4,42.9,31.1,0.8,24.9,46.4
"Soto, Juan",,,-0.015,False,0.993,71.9,64.4,31.9,15.2,19.3,39.0
"Chourio, Jackson",,,0.024,False,0.842,75.0,67.0,31.2,14.1,22.6,47.3
"Chisholm Jr., Jazz",,,0.014,False,0.693,73.0,60.8,27.8,8.7,31.4,44.3
"Montgomery, Colson",,,0.009,False,0.784,76.2,51.7,35.0,14.1,36.9,52.6
"Kim, Hyeseong",,,-0.011,False,0.651,66.7,38.8,42.5,3.4,27.0,47.4
"Ruiz, Keibert",,,0.055,False,0.768,67.7,59.4,33.5,5.3,14.4,51.8
"Olson, Matt",,,0.014,False,0.888,75.0,52.5,31.3,14.2,24.1,45.6
"Ruiz, Esteury",,,0.05,False,0.836,71.9,39.4,44.4,7.9,30.4,49.6
"Moncada, Yoán",,,0.011,False,0.605,72.4,37.0,33.3,7.7,28.8,38.9
"Fermin, Freddy",,,-0.023,False,0.52,69.9,54.6,28.8,2.7,24.2,49.4
"Lowe, Brandon",,,0.003,False,0.805,73.7,50.1,35.7,12.4,34.6,50.6
"Buxton, Byron",,,0.031,False,0.903,74.2,57.5,32.9,18.7,30.9,52.7
"Riley, Austin",,,-0.01,False,0.616,75.7,46.4,30.7,10.2,32.6,47.8
"Alonso, Pete",,,-0.025,False,0.812,74.8,54.8,33.7,12.5,27.5,44.0
"Schmitt, Casey",,,-0.018,False,0.799,72.4,48.8,40.7,12.5,21.8,54.8
"Rosario, Amed",,,0.002,False,0.752,74.0,55.2,36.8,11.4,26.5,54.1
"Collins, Isaac",,,0.003,False,0.693,73.7,37.5,31.3,5.7,21.8,39.7
"Freeman, Freddie",,,-0.004,False,0.881,70.5,42.6,36.3,10.9,21.1,50.0
"Rice, Ben",,,0.027,False,0.956,72.5,54.6,39.0,14.9,24.7,43.3
"Carroll, Corbin",,,0.018,False,0.849,75.6,67.3,29.4,11.5,29.1,45.9
"Loperfido, Joey",,,-0.008,False,0.647,71.8,40.3,32.9,6.8,31.0,48.8
"Turner, Trea",,,-0.002,False,0.648,71.6,65.6,32.4,6.3,27.4,51.4
"Okamoto, Kazuma",,,0.008,False,0.776,73.2,57.5,33.2,14.3,33.6,45.9
"Young, Cole",,,-0.022,False,0.701,71.7,50.4,35.2,5.1,20.0,48.2
"Gray, Tristan",,,-0.002,False,0.602,72.6,39.2,40.0,6.4,33.6,56.4
"Bichette, Bo",,,-0.032,False,0.676,70.1,27.7,36.2,7.1,18.9,53.3
"Torres, Gleyber",,,0.013,False,0.79,67.8,52.8,37.3,7.9,21.8,39.4
"Guzman, Denzer",,,0.004,False,0.686,73.9,44.0,33.8,6.8,24.5,53.0
"Contreras, William",,,-0.012,False,0.74,73.2,59.2,30.7,7.2,18.9,47.0
"Jackson, Jeremiah",,,-0.001,False,0.666,73.0,62.2,30.1,7.4,26.0,59.2
"Aranda, Jonathan",,,-0.004,False,0.835,70.0,52.6,38.3,10.5,21.9,44.9
"Durbin, Caleb",,,0.014,False,0.684,69.0,62.1,28.7,3.0,15.8,46.3
"Vargas, Miguel",,,-0.037,False,0.831,74.2,67.5,40.7,14.6,19.9,44.3
"Vivas, Jorbit",,,0.002,False,0.677,69.2,45.4,34.2,3.9,17.2,50.5
"Sánchez, Gary",,,-0.014,False,0.82,71.9,61.3,28.3,9.4,26.6,34.7
"Simpson, Chandler",,,0.024,False,0.654,65.0,39.6,25.7,0.0,10.5,46.8
"Carter, Evan",,,-0.004,False,0.626,71.3,42.6,29.5,7.1,27.9,40.7
"Pederson, Joc",,,-0.008,False,0.785,72.0,54.9,32.0,11.0,30.0,45.5
"Moreno, Gabriel",,,-0.006,False,0.806,71.6,42.6,37.0,7.4,16.3,41.5
"Lile, Daylen",,,-0.005,False,0.713,70.8,53.7,36.4,7.4,21.9,55.6
"Yelich, Christian",,,0.014,False,0.707,73.1,45.6,28.3,7.6,31.5,44.6
"Bolte, Henry",,,0.019,False,0.717,76.8,45.8,25.6,6.8,34.3,49.9
"Antonacci, Sam",,,-0.01,False,0.791,70.2,51.7,39.8,6.7,16.0,42.1
"Acuña, Luisangel",,,-0.037,False,0.536,72.2,69.6,23.0,4.1,24.3,50.7
