player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Henderson, Gunnar",,,-0.007,False,0.687,74.4,51.4,28.9,7.2,23.2,48.9
"Harris II, Michael",,,-0.005,False,0.838,74.8,45.8,30.3,13.0,26.5,55.2
"Torkelson, Spencer",,,-0.005,False,0.727,73.1,51.9,46.9,14.4,30.8,42.7
"McCarthy, Jake",,,0.049,True,0.848,71.1,49.0,37.7,5.9,22.7,55.7
"Ramírez, José",,,-0.028,False,0.757,70.1,59.4,36.6,6.6,17.3,46.7
"Wood, James",,,-0.029,False,0.948,76.7,43.7,42.7,22.8,31.1,38.0
"Horwitz, Spencer",,,0.032,False,0.841,69.0,49.8,27.6,8.6,15.2,40.5
"Caminero, Junior",,,0.016,False,0.913,79.9,62.6,27.3,13.1,22.6,42.2
"Nuñez, Nasim",,,0.02,False,0.628,68.5,42.2,32.3,0.5,22.9,47.4
"Ward, Taylor",,,-0.01,False,0.735,68.2,45.5,37.0,5.8,19.4,34.7
"Grisham, Trent",,,-0.022,False,0.749,70.1,61.9,34.2,10.9,16.6,37.5
"Suzuki, Seiya",,,0.024,False,0.814,73.2,49.9,37.7,9.7,26.0,41.5
"Semien, Marcus",,,-0.045,True,0.612,68.7,59.9,37.6,8.0,23.6,51.1
"Jung, Josh",,,0.008,False,0.811,70.6,57.3,40.2,6.1,18.5,46.2
"Mullins, Cedric",,,0.017,False,0.623,70.5,61.4,27.8,3.8,22.4,50.0
"Contreras, Willson",,,0.006,False,0.921,77.0,51.6,32.0,14.3,30.0,48.9
"Bell, Josh",,,-0.013,False,0.731,72.0,54.1,34.3,11.0,24.9,51.2
"Tucker, Kyle",,,-0.009,False,0.731,71.3,44.8,34.6,5.3,23.2,48.4
"Witt Jr., Bobby",,,-0.036,False,0.823,73.8,43.4,38.2,12.5,24.2,47.8
"Johnston, Troy",,,0.027,False,0.803,70.0,43.6,41.0,2.3,22.8,51.2
"McGonigle, Kevin",,,-0.001,False,0.818,71.3,50.4,36.3,7.8,15.4,42.0
"Chapman, Matt",,,0.023,False,0.692,76.2,43.1,25.3,6.6,23.1,44.5
"Guerrero Jr., Vladimir",,,-0.036,False,0.694,76.2,31.7,29.8,7.0,19.7,47.8
"Adames, Willy",,,0.014,False,0.706,72.2,58.2,38.3,9.2,29.4,48.3
"Busch, Michael",,,-0.009,False,0.752,68.4,50.7,33.1,10.5,25.4,41.8
"Caglianone, Jac",,,-0.022,False,0.776,77.2,44.0,36.2,15.5,31.3,51.6
"Abreu, Wilyer",,,-0.006,False,0.751,73.8,47.9,35.1,11.2,23.6,49.7
"Ohtani, Shohei",,,-0.013,False,0.939,74.7,52.3,39.1,16.5,28.5,44.0
"Machado, Manny",,,-0.017,False,0.701,74.7,55.4,31.5,10.9,26.9,47.8
"Bellinger, Cody",,,-0.016,False,0.754,69.5,62.1,39.1,6.8,20.1,45.3
"Albies, Ozzie",,,0.037,False,0.769,69.1,58.3,34.3,4.2,20.3,55.6
"Vargas, Ildemaro",,,-0.009,False,0.696,70.8,52.9,30.2,3.7,14.1,49.6
"Bregman, Alex",,,-0.009,False,0.678,69.9,66.0,32.1,4.3,16.3,40.4
"Keaschall, Luke",,,0.016,False,0.694,69.4,51.2,36.0,3.2,16.8,41.6
"Stewart, Sal",,,0.0,False,0.814,72.6,56.0,34.3,14.8,27.5,47.0
"Tatis Jr., Fernando",,,-0.027,False,0.727,75.8,54.0,31.1,11.0,28.5,47.7
"Díaz, Yandy",,,0.027,False,0.903,73.8,30.0,29.2,6.8,14.9,46.0
"Paredes, Isaac",,,0.022,False,0.765,67.6,52.9,37.9,6.1,16.7,44.1
"Goodman, Hunter",,,0.033,False,0.861,75.3,63.9,33.6,16.7,34.7,54.7
"Pasquantino, Vinnie",,,-0.024,False,0.659,70.2,59.8,37.2,7.3,15.8,45.0
"Arozarena, Randy",,,0.016,False,0.835,71.0,59.0,38.2,8.0,27.6,47.1
"Benge, Carson",,,-0.025,False,0.744,71.1,41.4,40.5,8.0,20.9,44.9
"Happ, Ian",,,0.012,False,0.759,72.1,46.2,33.0,12.7,32.2,44.6
"Frelick, Sal",,,-0.003,False,0.632,68.4,48.9,28.1,2.1,10.8,42.6
"Lopez, Otto",,,0.043,False,0.9,72.1,48.6,31.7,7.2,20.2,47.2
"Edwards, Xavier",,,0.028,False,0.814,68.5,47.5,38.3,4.7,14.7,42.0
"Bohm, Alec",,,-0.016,False,0.647,70.6,46.8,33.7,5.0,16.8,45.4
"Merrill, Jackson",,,-0.028,False,0.624,73.5,46.7,37.1,9.4,27.2,55.3
"Marsee, Jakob",,,-0.017,False,0.62,70.5,48.3,29.0,3.4,19.2,39.9
"Arraez, Luis",,,0.046,True,0.823,63.3,54.2,39.8,0.6,8.1,49.8
"Altuve, Jose",,,0.02,False,0.702,68.5,53.4,33.7,6.3,24.0,46.9
"Sheets, Gavin",,,0.001,False,0.758,74.3,50.2,35.1,7.8,20.8,43.4
"Meidroth, Chase",,,0.031,False,0.712,66.9,58.4,34.3,4.4,19.6,41.0
"Soler, Jorge",,,0.003,False,0.692,74.9,53.8,36.5,11.2,36.2,47.1
"Pages, Andy",,,0.005,False,0.79,73.0,45.9,35.4,8.4,22.8,48.0
"McLain, Matt",,,-0.034,False,0.621,71.7,57.0,37.4,9.2,27.4,42.6
"Mitchell, Garrett",,,0.001,False,0.823,77.3,62.1,34.0,15.4,38.0,43.8
"Schanuel, Nolan",,,0.002,False,0.732,68.0,50.0,35.1,2.2,18.0,45.6
"Baldwin, Drake",,,-0.028,False,0.789,75.0,45.9,38.2,15.1,24.8,49.8
"Giménez, Andrés",,,0.018,False,0.645,68.0,46.8,30.0,3.5,25.1,56.8
"Tovar, Ezequiel",,,-0.021,False,0.576,72.0,48.7,37.0,7.0,29.6,62.8
"Swanson, Dansby",,,0.009,False,0.714,71.5,57.1,27.8,8.0,29.8,46.1
"Rodríguez, Julio",,,-0.024,False,0.747,76.5,48.9,33.1,9.1,27.5,51.8
"Stott, Bryson",,,-0.014,False,0.694,70.0,57.2,33.7,7.1,18.0,43.2
"Lee, Jung Hoo",,,0.026,False,0.782,68.4,38.5,36.4,2.4,12.7,46.4
"Arenado, Nolan",,,0.024,False,0.718,71.4,56.0,35.5,6.5,24.0,46.5
"Herrera, Iván",,,-0.001,False,0.779,74.0,45.2,29.1,6.0,20.1,43.1
"Soderstrom, Tyler",,,0.006,False,0.805,74.5,52.9,31.5,9.8,21.4,46.2
"Schwarber, Kyle",,,0.017,False,0.94,77.1,68.0,40.2,19.7,35.0,44.7
"Devers, Rafael",,,0.013,False,0.79,71.7,57.1,32.4,11.6,29.1,48.7
"Trout, Mike",,,-0.038,False,0.859,75.1,46.7,36.7,20.9,22.9,38.9
"Alvarez, Yordan",,,-0.039,False,1.03,76.1,44.1,43.0,18.7,19.6,43.3
"Rocchio, Brayan",,,0.024,False,0.742,70.0,50.8,33.2,2.7,23.5,49.9
"Naylor, Josh",,,-0.021,False,0.665,70.2,45.7,33.7,4.7,18.7,52.6
"Perez, Salvador",,,-0.03,False,0.596,71.8,57.6,33.9,9.6,24.9,57.1
"Abrams, CJ",,,0.031,False,0.872,72.9,62.0,34.1,10.1,28.3,51.0
"Steer, Spencer",,,-0.015,False,0.744,71.0,60.0,35.7,13.2,25.9,44.9
"Castro, Willi",,,0.025,False,0.722,73.0,49.4,32.8,6.1,29.9,53.7
"Winn, Masyn",,,-0.005,False,0.655,70.9,40.0,33.2,3.3,21.3,43.6
"Bogaerts, Xander",,,-0.02,False,0.642,72.3,54.4,27.3,5.8,23.1,42.6
"Crawford, J.P.",,,-0.019,False,0.675,71.5,46.2,36.1,6.9,17.9,38.9
"Burger, Jake",,,0.009,False,0.731,75.3,59.5,30.5,10.3,34.2,50.4
"Duran, Ezequiel",,,0.016,False,0.735,72.8,44.2,34.1,6.0,27.1,51.6
"Nimmo, Brandon",,,-0.056,True,0.744,72.5,52.1,36.3,13.1,22.5,49.5
